student_id,first_name,last_name,email,dob,enrolled_at,active,section
34,Ira,Dwivedi,ira34@example.edu,2010-02-17,2025-06-17 15:37:33.023132+00:00,True,1B
35,Arihant,Suri,arihant35@example.edu,2010-03-21,2025-06-17 15:37:33.023132+00:00,True,1B
36,Prisha,Pandey,prisha36@example.edu,2010-08-27,2025-06-17 15:37:33.023132+00:00,True,1B
37,Hridaan,Bansal,hridaan37@example.edu,2010-11-06,2025-06-17 15:37:33.023132+00:00,True,1B
38,Vanya,Malhotra,vanya38@example.edu,2010-04-12,2025-06-17 15:37:33.023132+00:00,True,1B
39,Rehan,Sen,rehan39@example.edu,2010-07-09,2025-06-17 15:37:33.023132+00:00,True,1B
40,Aadhya,Sharma,aadhya40@example.edu,2010-05-15,2025-06-17 15:37:33.023132+00:00,True,1B
41,Raghav,Gupta,raghav41@example.edu,2009-06-04,2025-06-17 15:37:33.023132+00:00,True,2A
42,Simran,Joshi,simran42@example.edu,2009-10-23,2025-06-17 15:37:33.023132+00:00,True,2A
43,Atharva,Verma,atharva43@example.edu,2009-05-14,2025-06-17 15:37:33.023132+00:00,True,2A
44,Shanaya,Nair,shanaya44@example.edu,2009-03-03,2025-06-17 15:37:33.023132+00:00,True,2A
45,Vihaan,Kapoor,vihaan45@example.edu,2009-09-17,2025-06-17 15:37:33.023132+00:00,True,2A
46,Aadhira,Rao,aadhira46@example.edu,2009-12-10,2025-06-17 15:37:33.023132+00:00,True,2A
47,Arush,Iyer,arush47@example.edu,2009-08-19,2025-06-17 15:37:33.023132+00:00,True,2A
48,Kian,Desai,kian48@example.edu,2009-04-26,2025-06-17 15:37:33.023132+00:00,True,2A
49,Anaisha,Das,anaisha49@example.edu,2009-01-31,2025-06-17 15:37:33.023132+00:00,True,2A
50,Ishaan,Roy,ishaan50@example.edu,2009-11-15,2025-06-17 15:37:33.023132+00:00,True,2A
51,Pari,Gill,pari51@example.edu,2009-06-30,2025-06-17 15:37:33.023132+00:00,True,2A
52,Vivaan,Tiwari,vivaan52@example.edu,2009-03-12,2025-06-17 15:37:33.023132+00:00,True,2A
53,Arya,Jain,arya53@example.edu,2009-05-05,2025-06-17 15:37:33.023132+00:00,True,2A
54,Advik,Chopra,advik54@example.edu,2009-07-28,2025-06-17 15:37:33.023132+00:00,True,2A
55,Trisha,Sen,trisha55@example.edu,2009-02-20,2025-06-17 15:37:33.023132+00:00,True,2A
56,Nivaan,Seth,nivaan56@example.edu,2009-09-09,2025-06-17 15:37:33.023132+00:00,True,2A
57,Mahira,Kulkarni,mahira57@example.edu,2009-10-07,2025-06-17 15:37:33.023132+00:00,True,2A
58,Shaurya,Mishra,shaurya58@example.edu,2009-06-17,2025-06-17 15:37:33.023132+00:00,True,2A
59,Zara,Malik,zara59@example.edu,2009-08-08,2025-06-17 15:37:33.023132+00:00,True,2A
60,Laksh,Trivedi,laksh60@example.edu,2009-12-01,2025-06-17 15:37:33.023132+00:00,True,2A
61,Yug,Ghosh,yug61@example.edu,2009-02-05,2025-06-17 15:37:33.023132+00:00,True,2B
62,Aarohi,Das,aarohi62@example.edu,2009-03-30,2025-06-17 15:37:33.023132+00:00,True,2B
63,Siddharth,Mehta,siddharth63@example.edu,2009-05-18,2025-06-17 15:37:33.023132+00:00,True,2B
64,Avni,Gill,avni64@example.edu,2009-07-14,2025-06-17 15:37:33.023132+00:00,True,2B
65,Reyansh,Shah,reyansh65@example.edu,2009-09-22,2025-06-17 15:37:33.023132+00:00,True,2B
66,Aarya,Iyer,aarya66@example.edu,2009-01-10,2025-06-17 15:37:33.023132+00:00,True,2B
67,Viha,Chatterjee,viha67@example.edu,2009-04-01,2025-06-17 15:37:33.023132+00:00,True,2B
68,Kabir,Reddy,kabir68@example.edu,2009-06-03,2025-06-17 15:37:33.023132+00:00,True,2B
69,Kriti,Verma,kriti69@example.edu,2009-10-11,2025-06-17 15:37:33.023132+00:00,True,2B
70,Ruhan,Malhotra,ruhan70@example.edu,2009-03-08,2025-06-17 15:37:33.023132+00:00,True,2B
71,Tanish,Kapoor,tanish71@example.edu,2009-07-26,2025-06-17 15:37:33.023132+00:00,True,2B
72,Mysha,Yadav,mysha72@example.edu,2009-08-23,2025-06-17 15:37:33.023132+00:00,True,2B
73,Darsh,Dwivedi,darsh73@example.edu,2009-12-28,2025-06-17 15:37:33.023132+00:00,True,2B
74,Anvi,Garg,anvi74@example.edu,2009-11-04,2025-06-17 15:37:33.023132+00:00,True,2B
75,Zayan,Nair,zayan75@example.edu,2009-06-20,2025-06-17 15:37:33.023132+00:00,True,2B
76,Divya,Sen,divya76@example.edu,2009-05-24,2025-06-17 15:37:33.023132+00:00,True,2B
77,Neil,Saxena,neil77@example.edu,2009-02-15,2025-06-17 15:37:33.023132+00:00,True,2B
78,Avika,Jain,avika78@example.edu,2009-09-01,2025-06-17 15:37:33.023132+00:00,True,2B
79,Om,Patel,om79@example.edu,2009-10-30,2025-06-17 15:37:33.023132+00:00,True,2B
80,Aisha,Roy,aisha80@example.edu,2009-11-18,2025-06-17 15:37:33.023132+00:00,True,2B
